at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20,at21,at22,at23,at24,at25,at26,at27,at28,at29,at30,at31,target
0.57143,0.42857,1.0,0.5,0.2,0,1,1.0,0.0,0.25,0.16667,0,1.0,0.047619,0.3913,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21061999999999997,1
0.42857,0.28570999999999996,0.0,0.5,0.7,0,0,0.8,0.5,0.5,0.8333299999999999,0,1.0,0.095238,0.45652,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21064000000000002,0
0.14286,0.14286,0.33333,0.3,0.4,1,1,0.9,0.8333299999999999,0.25,1.0,0,1.0,0.14286,0.83696,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21066,0
0.57143,0.0,0.66667,0.3,0.2,1,1,0.7,0.33333,0.0,0.33333,0,1.0,0.047619,0.54348,0.010204000000000001,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21066,1
0.85714,0.14286,0.33333,0.2,0.2,1,1,0.7,0.33333,0.25,1.0,0,1.0,0.047619,0.65217,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21093,0
1.0,0.57143,0.33333,0.8,1.0,1,1,1.0,0.16667,0.25,1.0,0,1.0,0.095238,0.33696,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21093,0
0.42857,0.28570999999999996,0.66667,0.7,1.0,1,1,0.8,0.5,0.0,1.0,0,1.0,0.095238,0.75,0.020408000000000003,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21095,1
0.57143,0.0,0.33333,0.8,0.5,0,1,0.8,1.0,0.25,0.8333299999999999,0,1.0,0.095238,0.8695700000000001,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21106999999999998,0
0.42857,0.28570999999999996,0.66667,0.5,0.3,1,1,0.6,0.5,0.5,0.66667,0,0.8,0.14286,0.81522,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21108000000000002,1
0.85714,0.14286,0.33333,0.0,0.0,1,1,0.9,0.66667,0.5,1.0,0,1.0,0.0,0.41303999999999996,0.051019999999999996,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2111,0
0.85714,0.14286,0.66667,0.7,0.6,0,1,0.8,0.66667,0.25,0.66667,0,0.4,0.14286,0.8587,0.020408000000000003,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2111,1
0.71429,0.14286,0.66667,0.7,0.6,0,1,0.5,0.16667,0.5,1.0,0,0.6,0.095238,0.7391300000000001,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2111,1
1.0,0.0,0.33333,1.0,0.5,1,1,1.0,0.33333,0.5,0.5,0,1.0,0.095238,0.6087,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2111,0
0.28570999999999996,0.0,1.0,0.6,0.5,0,1,0.9,0.8333299999999999,0.0,1.0,0,1.0,0.14286,0.83696,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21111999999999997,1
0.42857,0.14286,0.33333,0.5,0.1,1,1,0.6,1.0,0.25,0.8333299999999999,0,1.0,0.14286,0.84783,0.020408000000000003,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21143,0
1.0,0.28570999999999996,0.33333,0.7,0.5,1,1,1.0,0.16667,0.0,0.0,0,0.6,0.19047999999999998,0.67391,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21143,0
1.0,0.28570999999999996,0.66667,0.9,0.9,1,1,0.5,0.5,0.0,0.8333299999999999,0,1.0,0.19047999999999998,0.8695700000000001,0.020408000000000003,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21149,1
1.0,0.14286,0.33333,0.5,0.5,1,1,0.9,0.5,0.25,1.0,0,1.0,0.095238,0.63043,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21151,0
1.0,0.14286,0.66667,0.0,0.0,1,1,1.0,0.16667,0.0,1.0,0,1.0,0.047619,0.44565,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21151,1
1.0,1.0,0.33333,0.7,0.5,0,1,0.6,0.33333,0.5,0.33333,0,1.0,0.095238,0.34783000000000003,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21153000000000002,0
1.0,0.28570999999999996,0.0,0.4,0.4,1,1,1.0,0.66667,0.25,1.0,0,1.0,0.095238,0.56522,0.0,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21155,0
0.57143,0.0,1.0,0.5,0.6,1,1,1.0,0.8333299999999999,0.0,0.0,0,0.8,0.14286,0.81522,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21156999999999998,1
0.42857,0.14286,0.33333,0.2,0.0,0,1,0.9,0.8333299999999999,0.0,1.0,0,0.8,0.0,0.53261,0.051019999999999996,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21159,0
0.71429,0.14286,0.66667,0.0,0.0,1,1,0.8,0.8333299999999999,0.25,1.0,0,1.0,0.095238,0.42391,0.010204000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21188,1
0.85714,0.28570999999999996,0.66667,0.4,0.3,1,1,0.7,0.66667,0.25,0.16667,0,1.0,0.14286,0.71739,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21188,1
0.85714,0.42857,0.33333,0.3,0.2,1,1,0.5,0.33333,0.75,0.0,0,1.0,0.0,0.40216999999999997,0.051019999999999996,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21188,0
1.0,1.0,0.33333,0.5,0.5,1,1,0.7,1.0,0.25,0.8333299999999999,0,0.8,0.14286,0.63043,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21195,0
0.85714,0.28570999999999996,0.66667,0.5,0.3,1,1,0.8,0.66667,0.75,1.0,0,1.0,0.14286,0.69565,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21195,1
1.0,0.28570999999999996,0.66667,0.7,0.0,1,1,0.7,0.5,0.5,1.0,0,0.8,0.047619,0.36956999999999995,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21197,1
0.71429,0.28570999999999996,0.0,0.6,0.8,0,1,0.9,0.5,0.25,1.0,0,1.0,0.14286,0.42391,0.010204000000000001,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21197,0
1.0,0.0,1.0,0.5,0.0,1,1,0.4,0.8333299999999999,1.0,0.5,0,1.0,0.095238,0.3913,0.030612,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21199,1
1.0,0.42857,0.0,0.6,0.0,1,0,1.0,0.8333299999999999,0.5,0.0,0,1.0,0.047619,0.25,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21199,0
0.57143,0.28570999999999996,0.0,1.0,1.0,1,1,0.7,0.66667,0.25,0.0,0,0.4,0.14286,0.68478,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21199,0
0.57143,0.14286,0.33333,0.5,0.5,1,1,0.8,1.0,0.25,0.0,0,1.0,0.14286,0.67391,0.0,0.66667,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21201,0
1.0,0.0,0.66667,0.6,0.5,1,1,0.7,0.8333299999999999,0.25,1.0,0,0.2,0.14286,0.80435,0.010204000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21201,1
1.0,0.14286,0.66667,0.6,0.5,0,1,0.8,0.66667,0.25,0.66667,0,0.2,0.047619,0.84783,0.0,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21201,1
0.42857,0.28570999999999996,0.33333,0.5,0.6,0,1,0.8,1.0,0.25,1.0,0,1.0,0.095238,0.58696,0.0,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21203000000000002,0
0.42857,0.28570999999999996,0.0,0.1,0.3,1,1,0.7,0.16667,0.25,1.0,0,1.0,0.0,0.5108699999999999,0.051019999999999996,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21203000000000002,0
1.0,0.14286,0.0,0.3,0.0,0,1,0.7,0.66667,0.25,0.0,0,0.8,0.14286,0.66304,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21203000000000002,0
0.71429,0.28570999999999996,0.33333,0.2,0.6,1,0,0.8,0.5,0.5,1.0,0,1.0,0.19047999999999998,0.67391,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21203000000000002,0
0.57143,0.28570999999999996,1.0,0.5,0.1,0,1,0.9,0.66667,0.75,0.0,0,0.8,0.095238,0.3587,0.0,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21205,1
0.71429,0.0,0.66667,0.7,0.6,1,1,0.6,0.66667,0.0,0.8333299999999999,0,0.2,0.14286,0.71739,0.0,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21206999999999998,1
1.0,0.0,0.66667,0.3,0.2,1,1,0.7,0.66667,0.0,1.0,0,1.0,0.095238,0.8804299999999999,0.020408000000000003,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21234,1
0.85714,0.57143,0.0,0.9,0.6,1,1,0.8,0.8333299999999999,0.0,0.8333299999999999,0,0.2,0.14286,0.71739,0.0,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21245,0
0.42857,0.28570999999999996,0.33333,0.6,0.7,1,1,0.3,0.66667,0.25,0.0,0,0.8,0.047619,0.34783000000000003,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21253000000000002,0
0.42857,0.28570999999999996,0.33333,0.5,0.7,0,1,0.9,0.8333299999999999,0.5,1.0,0,1.0,0.14286,0.83696,0.020408000000000003,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21278000000000002,0
0.85714,0.0,0.33333,0.8,0.8,0,1,0.7,1.0,0.5,0.16667,0,1.0,0.14286,0.84783,0.020408000000000003,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21278000000000002,0
0.42857,0.14286,0.33333,0.2,0.2,1,1,0.8,0.66667,0.25,0.8333299999999999,0,0.8,0.14286,0.77174,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2128,0
0.28570999999999996,0.0,0.33333,0.5,0.5,1,1,0.7,0.66667,0.5,1.0,0,0.2,0.28570999999999996,0.65217,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21291999999999997,0
0.57143,0.28570999999999996,0.66667,0.1,0.0,0,1,0.9,1.0,0.25,1.0,0,1.0,0.047619,0.69565,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21379,1
0.14286,0.14286,0.0,0.4,0.5,0,0,0.8,0.8333299999999999,0.5,1.0,1,1.0,0.095238,0.66304,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21415,0
0.85714,0.14286,1.0,0.5,0.5,1,1,0.8,0.16667,0.25,0.8333299999999999,0,0.8,0.14286,0.42391,0.010204000000000001,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21415,1
0.85714,0.28570999999999996,0.0,0.5,0.9,1,1,0.8,0.8333299999999999,0.25,0.0,0,1.0,0.047619,0.3913,0.010204000000000001,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21416999999999997,0
0.42857,0.0,0.0,0.4,0.6,1,1,0.5,0.8333299999999999,0.25,0.0,0,1.0,0.0,0.54348,0.051019999999999996,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21427,0
0.71429,0.28570999999999996,0.0,0.5,0.4,0,1,0.8,0.66667,0.0,0.33333,0,1.0,0.19047999999999998,0.47826,0.020408000000000003,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21427,0
0.28570999999999996,0.28570999999999996,0.33333,0.4,0.6,0,0,0.7,0.5,0.25,0.5,0,1.0,0.0,0.5,0.051019999999999996,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21429,0
0.14286,0.14286,0.33333,0.5,0.5,1,1,1.0,1.0,0.0,0.0,0,1.0,0.095238,0.59783,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21429,0
0.85714,0.28570999999999996,0.33333,0.2,0.4,0,1,0.8,0.66667,0.25,1.0,0,1.0,0.095238,0.5108699999999999,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21431,0
1.0,0.0,1.0,0.8,0.2,0,1,0.5,0.66667,0.5,0.0,0,0.8,0.095238,0.71739,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21433000000000002,1
1.0,0.28570999999999996,0.66667,0.6,1.0,1,1,0.8,1.0,0.25,0.66667,0,1.0,0.19047999999999998,0.8804299999999999,0.030612,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21434,1
0.57143,0.0,1.0,0.5,0.3,1,1,1.0,0.8333299999999999,0.5,1.0,0,1.0,0.047619,0.77174,0.010204000000000001,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21436,1
0.71429,0.14286,0.66667,0.5,0.4,1,1,0.5,0.66667,0.25,1.0,0,1.0,0.095238,0.80435,0.010204000000000001,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21436,1
0.71429,0.28570999999999996,0.66667,0.4,0.4,1,1,1.0,0.5,0.25,0.16667,0,1.0,0.047619,0.30435,0.030612,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21465,1
0.0,0.14286,0.33333,0.5,0.6,0,1,0.7,0.66667,0.25,1.0,0,1.0,0.095238,0.52174,0.030612,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21473000000000003,0
0.0,0.28570999999999996,0.33333,0.5,0.6,0,1,0.8,0.0,0.5,1.0,0,1.0,0.095238,0.55435,0.010204000000000001,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21477,0
0.57143,0.0,0.33333,0.8,0.8,0,1,1.0,0.66667,0.0,0.5,0,1.0,0.047619,0.79348,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21481,0
0.28570999999999996,0.14286,0.33333,0.8,0.9,1,1,0.9,0.66667,0.25,0.0,0,0.8,0.2381,0.63043,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21481,0
0.57143,0.28570999999999996,0.0,0.2,0.0,1,0,1.0,0.8333299999999999,0.5,1.0,0,1.0,0.14286,0.65217,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21483000000000002,0
0.85714,0.14286,0.33333,0.8,0.5,0,1,0.9,0.66667,0.25,0.8333299999999999,0,1.0,0.095238,0.8695700000000001,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21483000000000002,0
0.42857,0.0,0.33333,0.6,0.7,0,1,0.9,0.66667,0.25,1.0,0,1.0,0.095238,0.77174,0.0,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21485,0
0.42857,0.14286,1.0,0.5,0.3,1,1,0.8,1.0,0.25,0.8333299999999999,0,0.6,0.0,0.8804299999999999,0.051019999999999996,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21486999999999998,1
0.14286,0.28570999999999996,0.33333,0.3,0.6,0,1,0.9,0.8333299999999999,0.25,0.16667,0,0.8,0.095238,0.78261,0.010204000000000001,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21486999999999998,0
1.0,0.14286,0.33333,0.7,0.3,1,1,0.3,0.8333299999999999,0.75,1.0,0,0.2,0.0,0.59783,0.051019999999999996,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2151,0
0.0,0.0,1.0,0.6,0.7,1,1,0.7,0.66667,0.75,1.0,0,0.4,0.14286,0.92391,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21519000000000002,1
0.28570999999999996,0.14286,0.66667,0.8,0.7,0,1,0.8,0.8333299999999999,0.0,0.8333299999999999,0,1.0,0.047619,0.7608699999999999,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21520999999999998,1
0.28570999999999996,0.28570999999999996,0.33333,0.5,0.5,1,1,1.0,0.8333299999999999,0.0,0.0,0,0.6,0.14286,0.71739,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21520999999999998,0
0.71429,0.42857,0.0,0.6,0.5,0,0,0.8,0.8333299999999999,0.25,0.8333299999999999,0,1.0,0.047619,0.6087,0.030612,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21525,0
0.85714,0.14286,0.33333,0.5,0.2,1,0,0.5,0.16667,0.5,1.0,0,1.0,0.095238,0.48913,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21525,0
1.0,0.14286,1.0,0.5,0.8,0,1,0.8,1.0,0.5,1.0,0,0.4,0.19047999999999998,0.82609,0.020408000000000003,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21527,1
1.0,0.42857,1.0,0.0,0.0,1,1,0.5,0.8333299999999999,0.25,0.0,0,0.4,0.19047999999999998,0.70652,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21527,1
1.0,0.28570999999999996,0.66667,0.3,0.8,1,1,0.9,0.16667,0.5,0.33333,0,1.0,0.095238,0.81522,0.020408000000000003,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21529,1
1.0,0.14286,0.66667,0.2,0.2,0,1,0.3,1.0,1.0,1.0,0,1.0,0.095238,0.48913,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21529,1
0.42857,0.14286,0.66667,0.5,0.5,0,1,0.9,0.5,0.5,0.0,0,0.8,0.047619,0.77174,0.030612,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21529,1
0.28570999999999996,0.28570999999999996,0.0,0.3,0.3,0,1,0.8,0.16667,0.25,0.33333,0,1.0,0.33333,0.61957,0.010204000000000001,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21529,0
1.0,0.28570999999999996,0.33333,0.2,0.5,1,0,0.5,0.5,0.25,1.0,0,1.0,0.047619,0.72826,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21531,0
0.71429,0.0,1.0,0.5,0.7,1,1,1.0,0.5,0.0,1.0,0,1.0,0.047619,0.69565,0.0,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21558000000000002,1
1.0,0.71429,0.0,0.5,0.5,1,1,0.7,0.8333299999999999,0.5,0.66667,0,1.0,0.047619,0.42391,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21566,0
0.57143,0.57143,0.66667,0.8,0.8,1,1,0.8,0.66667,0.5,0.16667,0,0.6,0.14286,0.7391300000000001,0.010204000000000001,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2157,1
0.14286,0.14286,0.66667,0.5,0.6,1,1,0.7,0.5,0.25,1.0,0,1.0,0.14286,0.77174,0.020408000000000003,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21570999999999999,1
0.85714,0.28570999999999996,0.33333,0.5,0.5,0,1,0.8,1.0,0.25,1.0,0,1.0,0.047619,0.59783,0.010204000000000001,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21602,0
0.85714,0.14286,0.66667,0.0,0.0,1,1,0.8,0.16667,0.0,1.0,0,1.0,0.14286,0.72826,0.010204000000000001,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21611999999999998,1
1.0,0.28570999999999996,0.66667,0.8,0.5,1,1,0.9,0.8333299999999999,0.25,0.33333,0,0.6,0.28570999999999996,0.8695700000000001,0.030612,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21614,1
0.0,0.0,0.33333,0.3,0.5,1,1,0.9,0.66667,0.0,0.8333299999999999,0,1.0,0.047619,0.81522,0.0,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21618,0
0.14286,0.0,0.33333,0.2,0.3,0,0,0.7,1.0,0.5,1.0,0,0.8,0.095238,0.6413,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21622,0
0.28570999999999996,0.0,1.0,0.7,0.6,1,1,1.0,1.0,0.0,1.0,0,0.4,0.047619,0.80435,0.0,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21650999999999998,1
1.0,0.28570999999999996,0.33333,0.6,0.5,1,1,0.5,1.0,0.25,1.0,0,0.2,0.14286,0.66304,0.010204000000000001,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21650999999999998,0
0.85714,0.0,1.0,0.6,0.6,1,1,0.5,0.66667,0.5,0.8333299999999999,0,0.6,0.047619,0.8587,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21654,1
0.0,0.14286,1.0,0.0,0.7,0,1,1.0,0.66667,0.0,1.0,0,0.6,0.14286,0.59783,0.010204000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21705,1
0.28570999999999996,0.28570999999999996,0.66667,0.5,0.8,1,1,0.0,1.0,0.75,0.0,0,0.2,0.047619,0.80435,0.010204000000000001,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2171,1
0.14286,0.28570999999999996,0.33333,0.5,0.5,0,1,0.6,0.33333,0.5,0.0,0,0.6,0.095238,0.7391300000000001,0.020408000000000003,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21711999999999998,0
0.28570999999999996,0.28570999999999996,0.33333,0.5,0.7,0,1,0.7,0.33333,0.25,1.0,0,1.0,0.047619,0.83696,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21711999999999998,0
0.0,0.0,0.66667,0.5,0.4,1,1,1.0,0.8333299999999999,0.25,0.8333299999999999,0,0.8,0.095238,0.77174,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,1
0.28570999999999996,0.57143,0.0,0.5,0.5,0,1,1.0,0.33333,0.25,1.0,0,1.0,0.19047999999999998,0.59783,0.0,0.8333299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,0
0.42857,0.42857,1.0,0.6,0.7,1,1,0.5,0.8333299999999999,0.5,1.0,0,0.6,0.095238,0.7391300000000001,0.0,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,1
0.85714,0.0,0.0,0.0,0.0,1,1,0.8,0.8333299999999999,0.0,1.0,0,1.0,0.0,0.69565,0.051019999999999996,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,0
0.71429,0.28570999999999996,0.66667,0.3,0.2,1,1,0.8,0.33333,0.25,1.0,0,1.0,0.047619,0.70652,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21716,1
0.0,0.28570999999999996,0.66667,0.8,0.5,0,0,0.9,1.0,0.5,0.0,0,1.0,0.095238,0.6413,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21718,1
0.71429,0.28570999999999996,0.33333,0.4,0.5,0,0,0.5,1.0,0.75,1.0,0,1.0,0.095238,0.58696,0.010204000000000001,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21756999999999999,0
0.28570999999999996,0.14286,0.33333,0.4,0.5,0,1,0.9,0.66667,0.0,1.0,0,1.0,0.19047999999999998,0.54348,0.0,0.8333299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21756999999999999,0
1.0,0.14286,0.33333,0.3,0.3,0,1,0.5,0.66667,0.25,0.8333299999999999,0,0.8,0.095238,0.71739,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21759,0
